duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7,
1.000000,1.200000,0.000000,0.000000,0.000000,-0.016627,0.017473,-0.007960,0.001441,1.500000,0.000000,0.000000,0.000000,-0.023585,0.024874,-0.011351,0.002057,0.220000,0.000000,0.000000,-0.000000,-0.000029,0.000033,-0.000016,0.000003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,1.194327,-0.016815,-0.014167,-0.000535,0.001783,-0.001450,0.000601,-0.000105,1.491996,-0.023671,-0.019821,-0.000598,0.002539,-0.002070,0.000860,-0.000151,0.219991,-0.000024,-0.000017,0.000004,0.000004,-0.000003,0.000001,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,1.163639,-0.044002,-0.012769,0.000431,-0.000140,0.000095,-0.000036,0.000006,1.449084,-0.061199,-0.017354,0.000770,-0.000200,0.000136,-0.000052,0.000009,0.219956,-0.000039,0.000005,0.000010,0.000001,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,1.107224,-0.068506,-0.011779,0.000314,0.000009,-0.000005,0.000002,-0.000000,1.371194,-0.093967,-0.015477,0.000603,0.000013,-0.000007,0.000002,-0.000000,0.219933,0.000006,0.000043,0.000016,0.000001,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,1.027258,-0.091104,-0.010815,0.000324,-0.000000,0.000000,-0.000000,0.000000,1.262362,-0.123082,-0.013632,0.000618,-0.000000,0.000000,-0.000000,-0.000000,0.219999,0.000141,0.000091,0.000013,-0.000003,-0.000001,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.925663,-0.111763,-0.009844,0.000323,0.000000,-0.000000,0.000000,0.000000,1.126265,-0.148493,-0.011779,0.000618,0.000000,-0.000000,0.000000,-0.000000,0.220240,0.000345,0.000102,-0.000009,-0.000008,-0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.804379,-0.130482,-0.008874,0.000324,0.000000,0.000000,-0.000000,-0.000000,0.966611,-0.170197,-0.009925,0.000618,-0.000000,-0.000000,0.000000,-0.000000,0.220669,0.000486,0.000023,-0.000043,-0.000007,0.000001,0.000001,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.665347,-0.147259,-0.007903,0.000324,0.000000,0.000000,0.000000,-0.000000,0.787106,-0.188194,-0.008072,0.000618,-0.000000,-0.000000,0.000000,-0.000000,0.221130,0.000386,-0.000127,-0.000049,0.000004,0.000003,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.510510,-0.162090,-0.006927,0.000326,0.000000,0.000000,0.000000,-0.000000,0.591458,-0.202485,-0.006220,0.000617,-0.000000,-0.000000,0.000000,-0.000000,0.221346,0.000014,-0.000223,-0.000008,0.000015,0.000002,-0.000001,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.341819,-0.174965,-0.005948,0.000327,0.000000,-0.000000,0.000000,-0.000000,0.383371,-0.213075,-0.004371,0.000615,-0.000000,0.000000,-0.000000,-0.000000,0.221145,-0.000391,-0.000150,0.000053,0.000010,-0.000004,-0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
