duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7,
1.000000,-3.000000,0.000000,0.000000,0.000000,-0.098649,0.121477,-0.059258,0.011222,1.000000,0.000000,0.000000,0.000000,-0.008945,-0.027853,0.018530,-0.003832,0.500000,0.000000,0.000000,0.000000,0.552059,-0.646772,0.308093,-0.057342,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,-3.025209,-0.064209,-0.030340,0.027775,0.012631,-0.012165,0.006921,-0.001436,0.977900,-0.090692,-0.134731,-0.077845,-0.004395,-0.001342,0.015673,-0.003495,0.656038,0.421537,0.261840,-0.104604,-0.067385,0.057279,-0.020974,0.003851,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,-3.086032,-0.020389,0.080787,0.044821,0.005372,0.001299,-0.006249,0.001388,0.681074,-0.548405,-0.246359,0.082284,0.101660,-0.018178,-0.021594,0.006240,1.207581,0.549370,-0.117239,-0.086062,0.039172,-0.013656,0.004673,-0.000240,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,-2.979003,0.275855,0.195890,0.002906,-0.033282,0.007356,0.002477,-0.001232,0.036722,-0.564406,0.235801,0.093664,-0.094736,0.016812,0.007843,-0.002337,1.583601,0.171480,-0.211879,0.019151,0.032607,-0.008801,-0.000329,0.000033,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,-2.529033,0.586240,0.089751,-0.050255,-0.002479,-0.004257,0.006212,-0.001330,-0.270638,-0.076000,0.185056,-0.042108,0.025162,0.043028,-0.040541,0.009361,1.585864,-0.110139,-0.051023,0.056159,-0.015167,-0.016871,0.014859,-0.003583,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,-1.905151,0.611739,-0.053203,-0.025041,0.022877,-0.004630,-0.001938,0.000832,-0.166678,0.305863,0.228462,0.005650,-0.040165,0.001891,0.007649,-0.002417,1.460099,-0.124662,0.005374,-0.001458,-0.002053,0.003910,-0.002352,0.000520,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,-1.354515,0.492764,-0.048960,0.010532,-0.000218,-0.000924,0.000396,-0.000115,0.340256,0.657510,0.087318,-0.067705,-0.000563,0.001722,0.001682,-0.000271,1.339378,-0.117422,0.003416,0.000576,0.000401,-0.000486,0.000242,-0.000054,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,-0.901041,0.422515,-0.024392,0.004315,-0.002918,0.000837,0.000070,-0.000064,1.019949,0.643585,-0.082413,-0.028577,0.023797,-0.005781,-0.001360,0.000718,1.226050,-0.108617,0.005182,0.000267,-0.000289,0.000109,-0.000014,-0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,-0.500679,0.379154,-0.020894,0.000153,0.000059,0.000094,-0.000082,0.000020,1.569918,0.456178,-0.088490,0.006735,-0.000376,-0.000948,0.000786,-0.000194,1.122688,-0.098151,0.005110,-0.000115,0.000008,0.000004,-0.000005,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,-0.142174,0.338182,-0.019946,0.000398,0.000010,-0.000021,0.000013,-0.000003,1.943610,0.296522,-0.072296,0.004694,-0.000104,0.000194,-0.000122,0.000028,1.029540,-0.088243,0.004811,-0.000092,0.000000,-0.000001,0.000001,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
